page,extracted_records,status,candidate_model_tokens,error
1,0,no_product_record,Zhongqun; zhang; zhongqunchuju; zone,
2,0,no_product_record,zhongqun,
3,1,extracted,ZHONG,
4,0,no_product_record,Zhongqun; zhongqun,
5,5,extracted,ZQ002-01; ZaQoo101; za00106; zao0102; zao02,
6,19,extracted,Z20VIGAS; ZQ-6R; Za004-07; Za00401; Za00404; Za00408; ZaAR; za00; za4A; zan0a-15,
7,18,extracted,ZO43; ZOAVK; ZOAVK-0; ZOAVK-D; ZOAVK0200; ZONGSN; ZORKAZ; ZQ-DMG-8M; ZQ-RX-20; ZQA2MJMZG; ZQAVK-D; ZQAVK-O; ZQAVKO-160; ZaRxcaomk; zacroR25; zaovaay; zapanze; zaswkzct,
8,4,extracted,zanaame; zeansias; zowie,
9,15,extracted,,
10,15,extracted,2Q380-20PC; ZOKW; za380-12QA; za3804000D; za98026PC; zaae920PC; zaaeozoace; zt020QA,
11,7,extracted,2Q-BS-216; ZQ-10; ZQ-W65-D01; ZQ013-01; Za-12; za-12; zasrrannas; zooteat,
12,13,extracted,ZHIGHTC280; ZOHIGHT-CHB; ZaHGHT-c200; ZoonT-c4s0; za4HIOHT-450; zaHhGHraaojzatahramon,
13,7,extracted,ZOKFATDSOA; ZQKT-RTD; ZawrzogreAi; ZoKrATOEan; ZontPsore; zaenzaeazaes; zara; zo2ov; zoKreTossn; zocs; zoxrerosen; zoxs,
14,2,extracted,ZOLGL2A; ZOYOCKSANH; ZYOCKATH; zasLtA,
15,11,extracted,ZOZHRC2E; ZOZHRCAE; ZOZHRU4; ZQZH-TCAE; ZQZH-TT; ZQZH-TT4; ZQZH-TU; ZQZHTC-2E; ZQZHTOMH; ZREUACR; ZRRURGSAN; Zoztin; zaaeTe2; zazOm; zoinetsomooasost; zoztued,
16,4,extracted,ZOZH-RN; ZQZH-RZ,
17,10,extracted,2Q-2H-820; 2Q-2H-861; ZQ-2H-818; ZQ-ZH-830; ZaQ-zH; Zara; zazhizg; zbaniea; zhH400,
18,9,extracted,ZO2H718; ZQ-BDH-12L; ZQ-ZH-81; ZQ-ZH-82; ZQ-ZH-901; ZQ-ZH-902; zazhal; zazhaov; zazhratv; zazntazv; zoznaL2,
19,6,extracted,ZQ-PT-06A; ZQPT06; Za16L-88; ZaicLs; zaeohor; zaore-sze; zauoxz24; zaversus; zomowai,
20,4,extracted,ZQ-ZH-4041; ZQ-ZH-4042; ZQ-ZH-801A; ZQFY213; zarerisa; zarrzn; zazie; zeae,
21,4,extracted,ZOFY228; Za-zh-128; zante; zarme; zarvaate; zaziae; zeae; zorvari; zorvave; zozi,
22,6,extracted,2QZMBIEA; ZQ-FY-45; ZQ-ZH-410; ZQZH-410R; ZQZH2R; Zazhent; zazhantE; zazhats; zaznataA; zaznettea; zozisis,
23,3,extracted,zaloae2; zeeraroses,
24,1,extracted,zamv; zawsol; zazhal,
25,4,extracted,ZOYA-900; ZQZHA2; Zaesre; zone,
26,4,extracted,2Q2H-82,
27,4,extracted,ZaexXLDeL; Zaft; zane; zaresa; zaress; zowar,
28,5,extracted,zaaat; zener; zest,
29,4,extracted,ZNKS60; ZQ-60C,
30,23,extracted,2Q-ACL-3; 2Q-JMC-312QH; ZORA; ZQ-ACL-3; ZQ-ACL24DH; ZQ-ACL41-2GH; ZQ-JMC-2120; ZQACL24Q; ZQACL24QH; ZQACLIGQH; ZQACLSSDH,
31,14,extracted,ZQ-630; ZQ-ACL-16Y; ZQ-B20; ZQ-B40; ZQ-B60; ZQ-B60A; ZQ-B80; ZQ-B80A; ZQ-SK-XF32D; ZQB208; ZQuMF-16F; Zo20v0KKW; za0visoHe; zaB60; zae-t08; zante; zosso,
32,4,extracted,2Q-CS200L; ZaQ-SF; zane; zavm; zens; zoms,
33,1,extracted,ZOSOKI0S; ZaY30; Zavaog; Zaveo; za0vscn; zaoveny; zaviss; zavow; zoacso; zoos,
34,6,extracted,ZQ-BDQ-650C; ZQ-JGB-120; ZQ-XZ-87; zaQ-BDQ,
35,8,extracted,ZQ-SY-12; ZQ062-01; ZQ42AC; za-q3o0gh; zaecian; zoos,
36,3,extracted,Z2O2AOVEO-ORE; ZQ-SL300C; ZaseoRl; Zavitenioon; za-sac; zaass; zante,
37,3,extracted,ZQvce5Ms; Za-assoaA; za0xa00x460; zaanoea; zavceons,
38,9,extracted,ZOLZ-180; ZOMFS-150; ZQ-QJR-L100A; ZQMN-150; Za-YQc1000; z30VI506oHz; zene; zzosinviotz,
39,3,extracted,ZQ-GD-100; Zaaye7L; zashrsow; zeae; zone; zoscancre,
40,3,extracted,,
41,6,extracted,2Q074-03; ZQ073-01; ZQ073-02; ZQ074-02; ZQ074-04,
42,6,extracted,2Q075-01; ZOEHRISOFLS; ZQ075-02; zao7641; zonezorl4,
43,4,extracted,ZQ-GE20R; ZQ-XLD-CBR; zacs00r0s,
44,24,extracted,2Q-00-150071; 2Q-0D-180071; ZQ-CSS1; ZQSOOMI; ZQz000A1; Za-ecHr40B; ZacssiaLce; Zacssisic; Zacssz01C0; Zovtreon; zacssi21ce; zaocusrixt; zaracH-36; zastroonizo0081; zoschas; zz0vio2,
45,9,extracted,2Q-D0; ZQ-D1; ZQ-D10L4FB; ZQOLOLATEB; ZaGleLeTFB; ZocasizTFe; za-D1; za-e16LeTFB,
46,11,extracted,Za-sD5; Za0ed-t2; ZaLDR4FB; Zeses; Zooa403; za-D03L2KB; za-sD10; za08301; zaaQtatm4e; zaatatwA; zane,
47,25,extracted,ZAMGSOLZW; Za-T046LM2B; Zaogea; Zaver2; za0s5og; zaoasos; zaoesos; zaogeaz; zarTo46LW2A; zaroasiaze; zawetalz; zcTO26LM2A; zest; zoToasuv2e,
48,5,extracted,ZQ-G588L2; zaazmntrz; zaccioolre; zacwenrs; zone; zoom; zostwours; zosweenes,
49,27,extracted,ZRIXROWFA; Za-G58BLT2; ZaLe-20012F; ZaQ-az60t2; ZaZXHSLI6; ZaZe2SWFA; Zaisdie; Zam2026; ZazetsFh; Zazx20rn; Zazxsorm; Zo1sm; za1c-190; zaGaent; zaazeot2; zany; zo2m; zocten2; zoos; zuooes9011900; zzOVEOHe,
50,4,extracted,ZronaeunKlcheoware; zansow; zoscascr,
51,14,extracted,ZE2xt61; ZODLCO-14; ZOKKHD2; ZOS0GI2; ZQ402; ZQDLCD4O; ZaDLCD-20; Zaccoasva; Zawe2s; Zawezst; zacoz0a; zas0020; zeeiee; zospo0,
52,11,extracted,ZE2xt61; ZODLCO-14; ZOKKHD2; ZOS0GI2; ZQ402; ZQDLCD4O; ZaDLCD-20; Zaccoasva; Zawe2s; Zawezst; zacoz0a; zas0020; zeeiee; zospo0,
53,9,extracted,ZaKWivath; ZaQ-BG; Zasesis; ZauOWRDe; Zawo4s80; Zawoeeeo; z0780H00; zaar; zaiwoes70; zaor; zawe750; zawpa7a; zeae; zethe,
54,19,extracted,ZK20CT; ZOMKaseTB; Za-8W-350; Za-wmstecTB; ZaamazsFTB; za-5w; za-vcrss; za-ve270; za-ver0s; za0-200v; zaew7op; zaewsop; znongcun,
55,12,extracted,Za4ox; ZaaaL; Zaza; za0K2508; zaaox; zacos; zacwae; zaees; zamxzocaae; zanKz00; zass4; zasst; zawric,
56,12,extracted,2Q-NB2218; ZODST-B60M; ZQ-NB221S; ZQDST-32; Za-DsT; Za-NB2223; ZaQ-DsT; Zoosrog; za0r; za0vi80; zaosrie,
57,10,extracted,ZOSK-TO0P; ZOSKAGIP; ZQSK210P; ZaQ-SK; zane; zermowre; zorsaomrs,
58,4,extracted,ZQ-ASLX2; ZQ-XHJ-100; ZQ-XHJ-65; Zane; zane; zasosmic,
59,20,extracted,ZOARPsTOLXS; ZOARYISLKS; ZOLRYISOLXT; ZQ-LRYJ18LX1; ZQ-LRYJ1ODG; ZaLRV09; Zatmroaba; ZazW0e2; Zounriiwsd; Zuotaba; zauRWi0; zoiRWiex2; zourvarauxe,
60,4,extracted,ZRHRIER; Za-sT260; Zaoz; ZasT120; ZasT120ZC-sT210; zaneeem; zasicet; zastety; zavigore,
61,11,extracted,ZOMAZ; ZQ-200-1; ZQ-999SN-75; ZQ-9CSN; ZQ-9EN; ZQ-z00-2; ZZ0V; za-ar,
62,0,failed_structured_extraction,ZOBLO18; ZOORSILOTA; Za-HMD; Za0visoke; ZaQ-skoaAB; Zaiiee; Zeovnaov; Zoa09; ZzQ-XRJ15LX2; za-DRS23; za0visahe; za0visihe; zaoB; zasars; zaste; ze0visoHe; zone,'NoneType' object is not subscriptable
63,30,extracted,2Q-MD-9001; ZQ-HA-3168; ZQ116-01; ZQ116-02; ZQ116-03; Za-HP-101; zQJS-602; za-10; za109; za767; zaHBB250S; zas-e02; zasoron; zauts; zepanan,
64,16,extracted,Z20-E98A2; ZOAPIAIZOR; ZOEHA2; ZOKT-11; ZQ-900N; ZQ-ESBAZ; ZQAPPIALZOR; za0on,
65,11,extracted,Z070x8709; Zoesawzeos; Zona; Zz0-240VeEneare; z00305; zZQ-ECAM234608; za-sToancane,
66,3,extracted,zoaes; zoom,
67,0,failed_structured_extraction,ZQ124-02; ZQ124-03; ZQ124-04; Za124; za124; za124-29; za12408; za126-20; zaize21; zane; zara; zareea; zareent; zaret9; zarza9; zat24; zatats; zatz418; zatztor; zones,'NoneType' object is not subscriptable
68,11,extracted,2Q126; ZQ-KS723,
69,18,extracted,Zales; Zanes; Zavese,
70,8,extracted,,
71,13,extracted,2QII-02; Z2ax72zm; ZD132-20; Za132-16; Zone; za131; za134-09; zo132-11; zol3236,
72,0,failed_structured_extraction,2Q199-09; za13408; za13409; zaf3406; zat3404; zat3405; zt3407,'NoneType' object is not subscriptable
73,0,failed_structured_extraction,2Q135; 2Q136; 2Q136-05; 2Q136-16; ZaN95-41; Zor9e-17; zQt136; za135; za13504; za135121; za13562; zaQ13506,'NoneType' object is not subscriptable
74,13,extracted,ZO137-08; ZONST-10; Za137441; Zootan; z0Q13842; zQ138; za138-14; zatsr031; zola7as; zolar44,
75,0,failed_structured_extraction,2Q140-22; ZO14028; ZQ139; za13901; za140; za14061; za43967; zat40n0; zol4o29; zowen,'NoneType' object is not subscriptable
76,12,extracted,ZQ141-12; ZQ141-16; Zat42191; zaH4105; zat217; zat42; zaxH7om; zol42201; zonn22,
